Ticker,Earnings,Revenue,Percentage change,Market cap,Industry
ASYS,66.67,13.27,-13.13,58122240,Semiconductor Equipment & Materials
MPAA,-437.5,5.67,-6.32,188056208,Auto Parts
ROAD,46.15,2.36,-5.93,2659856640,Engineering & Construction
TU,5.88,2.15,0.8,25918558208,Telecom Services
ENB,-6.0,13.04,-0.49,72929411072,Oil & Gas Midstream
UI,-29.23,4.83,-7.65,7684768768,Communication Equipment
COOP,24.82,1.43,6.37,4649262080,Mortgage Finance
AMCX,12.5,0.87,-16.37,742218752,Entertainment
EMBC,35.56,4.15,-6.74,935865344,Medical Instruments & Supplies
ESNT,3.14,7.8,-2.3,5648667648,Insurance - Specialty
FTS,0.0,11.38,-0.26,19162406912,Utilities - Regulated Electric
PEP,3.49,1.39,-2.36,239033696256,Beverages - Non-Alcoholic
PRLB,53.33,2.48,-1.11,958977088,Metal Fabrication
MGA,-8.9,0.11,-7.02,16779383808,Auto Parts
VCTR,1.77,1.55,1.25,2362645248,Asset Management
VVI,-12.86,4.99,2.8,698917056,Specialty Business Services
PRO,-66.67,1.08,1.84,1709018368,Software - Application
IIIV,-5.26,1.0,0.16,629739392,Software - Infrastructure
CPRI,-31.03,3.2,1.34,5541581312,Luxury Goods
FORR,-3.85,1.43,-3.7,444155328,Consulting Services
RAMP,14.63,0.08,3.07,2777067776,Software - Infrastructure
FARM,52.38,1.08,-8.24,76313984,Packaged Foods
SYNA,23.91,0.63,4.79,4410256896,Semiconductors
LTRX,0.0,0.44,-2.52,217621936,Communication Equipment
PSEC,9.09,6.72,-0.68,2405269760,Asset Management
EGAN,37.5,1.21,-2.55,238282240,Software - Application
LEU,358.97,69.7,-2.17,729545920,Uranium
FLO,0.0,0.09,-0.47,4938096128,Packaged Foods
SRTS,116.67,3.89,3.4,63563712,Medical Devices
APDN,70.97,27.29,0.0,10357007,Diagnostics & Research
STEP,48.0,110.27,3.88,3873914880,Asset Management
MWA,44.44,0.79,1.71,2377890304,Specialty Industrial Machinery
FE,3.33,4.24,-0.45,21409038336,Utilities - Regulated Electric
SPSC,8.7,1.34,1.22,7742827008,Software - Infrastructure
NET,25.0,2.77,10.16,32169762816,Software - Infrastructure
G,10.81,2.14,-0.06,6556915712,Information Technology Services
TEX,0.0,0.05,1.21,4330753536,Farm & Heavy Construction Machinery
BYD,16.08,3.41,2.2,6532294656,Resorts & Casinos
RICK,-17.2,0.46,-0.67,568881856,Restaurants
VRSN,4.92,0.16,0.84,20532330496,Software - Infrastructure
DOCS,20.83,6.14,2.99,5268279296,Health Information Services
FLUX,44.44,1.8,-11.49,69931632,Electrical Equipment & Parts
EXPE,2.99,0.22,2.84,22142119936,Travel Services
LVO,0.0,0.9,-6.29,123753000,Entertainment
LADR,10.34,4.25,-0.84,1354151040,REIT - Mortgage
CIVB,10.71,1.24,0.12,255839408,Banks - Regional
LIVE,-115.28,13.07,-0.82,78525504,Home Improvement Retail
ACB,-100.0,16.1,-0.49,236864608,Drug Manufacturers - Specialty & Generic
NSP,22.95,0.7,-15.03,3592731648,Staffing & Employment Services
K,5.41,2.67,0.64,18818050048,Packaged Foods
ARW,7.57,0.41,3.31,6102170112,Electronics & Computer Distribution
OMCL,94.12,1.11,-8.98,1323160192,Health Information Services
RL,18.13,3.71,16.39,10985605120,Apparel Manufacturing
PATK,5.67,1.87,2.62,2438314496,"Furnishings, Fixtures & Appliances"
RBC,-3.14,0.72,-6.27,7767638016,Tools & Accessories
BCE,3.7,1.33,-4.34,34606714880,Telecom Services
SWI,14.29,3.99,7.1,2211280640,Software - Infrastructure
BAX,2.33,2.28,1.66,20546699264,Medical Instruments & Supplies
ICE,3.1,0.67,5.91,77583745024,Financial Data & Stock Exchanges
LITE,3.23,0.92,-22.53,3383817216,Communication Equipment
SPGI,-0.63,0.48,-4.95,138324197376,Financial Data & Stock Exchanges
TDG,12.4,7.07,-1.03,62755614720,Aerospace & Defense
HOG,350.0,13.24,1.42,5132099072,Recreational Vehicles
ABG,-8.01,1.2,-2.03,4443072000,Auto & Truck Dealerships
CYBR,72.34,6.42,6.42,11748939776,Software - Infrastructure
CIGI,4.17,2.54,8.15,5874880512,Real Estate Services
PM,-5.56,0.98,-3.2,138355245056,Tobacco
TROW,7.5,1.57,-0.63,24384976896,Asset Management
UAA,72.73,1.37,-1.53,3303009536,Apparel Manufacturing
TPR,12.41,1.44,4.42,9860465664,Luxury Goods
ITT,0.0,2.15,-4.72,10049040384,Specialty Industrial Machinery
DT,14.29,2.09,-6.39,16596654080,Software - Application
BWA,-3.23,2.43,-8.62,7474748928,Auto Parts
TPX,-1.85,0.56,2.01,8937578496,"Furnishings, Fixtures & Appliances"
RXO,100.0,1.71,-6.99,2428286720,Trucking
TRI,6.52,1.4,4.35,71764213760,Specialty Business Services
ZBH,2.33,0.57,-3.77,25712969728,Medical Devices
WEX,2.69,1.0,3.51,9066291200,Software - Infrastructure
SPB,151.61,2.73,8.26,2606383360,Household & Personal Products
ARES,10.0,10.32,6.31,41642278912,Asset Management
AXTA,0.0,1.16,-4.96,6895200768,Specialty Chemicals
PBH,1.92,0.89,9.55,3415872256,Drug Manufacturers - Specialty & Generic
HAE,7.22,4.13,1.31,3966902528,Medical Instruments & Supplies
SAVE,3.55,0.13,2.57,783822208,Airlines
TTGT,10.53,0.98,-0.89,995380928,Internet Content & Information
DHX,-20.0,4.11,3.41,125003800,Software - Application
NLY,6.25,118.09,-1.69,9461513216,REIT - Mortgage
ALCO,-735.71,21.61,2.96,221078544,Farm Products
FAF,-8.0,2.75,0.8,6089742848,Insurance - Specialty
RM,45.95,0.7,-1.6,224945040,Credit Services
MC,45.45,10.55,-0.8,3681360640,Capital Markets
HMN,29.23,2.16,1.53,1526475904,Insurance - Property & Casualty
CPA,14.62,2.62,2.85,4208309760,Airlines
RDN,15.66,2.26,0.18,4212422656,Insurance - Specialty
ASGN,5.84,2.08,0.91,4510900736,Information Technology Services
RMR,8.89,17.25,-0.32,427419872,Real Estate Services
NTGR,125.0,2.0,0.92,390527328,Communication Equipment
CMP,-79.17,7.21,1.99,877864256,Other Industrial Metals & Mining
PAHC,22.22,2.88,-0.09,463770720,Drug Manufacturers - Specialty & Generic
ENS,0.39,3.93,1.91,3672601088,Electrical Equipment & Parts
RRX,0.88,0.99,3.0,10087761920,Specialty Industrial Machinery
MUSA,10.94,5.43,1.57,8363896320,Specialty Retail
CSGS,5.75,0.21,0.13,1586351744,Software - Infrastructure
QNST,20.0,5.34,3.69,843118080,Advertising Agencies
NOTV,-957.14,0.56,3.66,127921872,Diagnostics & Research
APPS,-16.67,2.61,-1.95,398902112,Software - Application
WMG,-30.23,3.86,-0.58,18265806848,Entertainment
UTI,183.33,3.87,-2.33,870458368,Education & Training Services
COTY,25.0,3.42,-0.25,10634600448,Household & Personal Products
STE,2.3,4.22,2.35,22161016832,Medical Devices
ORLY,2.09,0.16,1.18,60598054912,Specialty Retail
PNNT,4.35,5.67,-1.01,440917312,Asset Management
PYCR,22.22,2.61,-0.86,3564160768,Software - Application
ALL,50.39,0.94,1.37,42458841088,Insurance - Property & Casualty
EG,72.11,8.66,0.27,15384492032,Insurance - Reinsurance
EFX,4.02,1.06,-0.71,31078975488,Consulting Services
MOH,1.62,8.99,3.0,22659461120,Healthcare Plans
PYPL,8.82,1.81,1.95,63136206848,Credit Services
QLYS,12.0,0.08,4.62,6321588224,Software - Infrastructure
RPD,50.0,1.86,2.37,3777147136,Software - Infrastructure
GL,2.19,0.21,2.17,11853309952,Insurance - Life
CENT,105.56,2.33,1.38,2411735552,Packaged Foods
CENTA,105.56,2.33,1.63,2411062016,Packaged Foods
RRR,137.5,5.06,1.86,3437347584,Resorts & Casinos
MAT,-3.33,2.18,1.68,6672570880,Leisure
DIS,25.77,0.58,2.29,202764091392,Entertainment
PAYC,8.43,2.84,1.75,11065353216,Software - Application
FLT,-0.67,3.21,0.39,19740600320,Software - Infrastructure
ACLS,8.59,5.11,1.5,4096084224,Semiconductor Equipment & Materials
MPWR,1.05,0.42,-0.8,36131946496,Semiconductors
ENTA,-33.9,20.83,0.0,261488304,Biotechnology
TTMI,10.81,0.06,2.84,1648189440,Electronic Components
RBLX,8.77,4.75,11.85,27987095552,Electronic Gaming & Multimedia
GFF,37.18,7.68,14.11,3520317440,Conglomerates
MCFT,60.87,4.45,5.27,368952096,Recreational Vehicles
BERY,-5.43,4.49,-10.92,6840851968,Packaging & Containers
VSH,2.78,0.83,-2.08,3022631168,Semiconductors
