Ticker,Earnings,Revenue,Percentage change,Market cap,Industry
JPM,6.43,1.5,0.58,503451222016,Banks - Diversified
BAC,1.45,8.79,2.7,261497716736,Banks - Diversified
BK,14.29,0.42,0.98,41930977280,Asset Management
DAL,9.4,1.09,0.5,26066683904,Airlines
BLK,9.28,0.13,1.04,118385688576,Asset Management
UNH,3.01,2.57,0.24,481044398080,Healthcare Plans
BBCP,0.0,0.11,0.63,439655392,Engineering & Construction
NTIC,-44.44,3.9,8.21,128878224,Specialty Chemicals
KBH,9.47,4.11,-4.84,4620300288,Residential Construction
AZZ,20.2,0.96,14.32,1743847680,Specialty Business Services
SGH,50.0,0.27,14.55,1184317824,Semiconductors
AEHR,27.78,6.62,-32.69,496494720,Semiconductor Equipment & Materials
JEF,15.38,1.64,1.04,8655506432,Capital Markets
CMC,13.99,5.28,3.46,6297754624,Steel
HELE,1.09,1.28,-1.82,2766930432,Household & Personal Products
GBX,35.21,8.77,-0.76,1493912960,Railroads
STZ,5.28,3.15,3.35,44434432000,Beverages - Wineries & Distilleries
ANGO,44.44,3.15,-3.69,245109712,Medical Instruments & Supplies
FC,89.47,3.83,0.5,534503808,Consulting Services
KRUS,-63.64,0.91,32.75,1143141760,Restaurants
LW,3.57,2.16,-4.1,14564288512,Packaged Foods
CAG,5.97,0.98,-1.04,13431945216,Packaged Foods
SMPL,4.88,0.18,-7.8,3581255424,Packaged Foods
WBA,4.76,5.1,-6.7,19437938688,Pharmaceutical Retailers
RPM,-0.81,2.08,4.01,13893690368,Specialty Chemicals
LNN,7.94,0.78,6.79,1439642752,Farm & Heavy Construction Machinery
RGP,27.27,0.52,-3.97,442978400,Consulting Services
UNF,2.15,0.46,-2.5,3202609152,Specialty Business Services
UNF,-3.0,0.46,-2.5,3202609152,Specialty Business Services
PROC,60.0,7.26,17.34,366678016,Drug Manufacturers - Specialty & Generic
PFX,15.38,13.56,13.63,92206928,Asset Management
LMNR,0.0,13.01,-3.74,323353952,Farm Products
CCL,41.67,1.5,-8.86,20495497216,Travel Services
CTAS,3.74,1.77,2.06,62669578240,Specialty Business Services
APOG,17.14,5.87,-3.54,1217330688,Building Products & Equipment
MU,4.04,1.47,4.01,94450540544,Semiconductors
