Ticker,Earnings,Revenue,Percentage change,Market cap,Industry
SCHL,-62.96,14.99,-1.83,1182957824,Publishing
FDS,-16.05,0.16,3.15,16679808000,Financial Data & Stock Exchanges
FDX,22.97,0.71,3.87,66606190592,Integrated Freight & Logistics
SCS,82.35,3.29,25.71,1274072576,Business Equipment & Supplies
AZO,4.38,1.96,5.37,45356601344,Specialty Retail
ICMB,6.67,6.12,-7.93,57427272,Asset Management
LEN,12.68,2.40,-0.45,31908448256,Residential Construction
ADBE,3.02,0.72,-2.78,232157462528,Software—Infrastructure
SMTC,450,0.55,10.54,1652490752,Semiconductors
CASY,34.52,0.45,15.29,10118627328,Specialty Retail
ORCL,4.39,0,-10.32,290155134976,Software—Infrastructure
KR,4.35,1.16,2.58,32189388800,Grocery Stores
DOCU,10.77,1.61,-12.91,8534609920,Software—Application
SMAR,100,2.72,9.53,5467480576,Software—Application
ZUMZ,34.33,2.33,-11.76,352587712,Apparel Retail
RH,49.43,2.90,-16.12,4864276480,Specialty Retail
LMNR,-86.67,8.07,-0.13,275436736,Farm Products
TNP,3.12,4.86,-2.9,613126400,Oil & Gas Midstream
TTC,-22.76,11.36,-6.35,8629436416,Tools & Accessories
SCWX,37.50,3.32,-5.08,535521184,Software—Infrastructure
SAIC,28.12,5.43,-4.28,5586802176,Information Technology Services
MEI,-72.73,7.98,-15.79,822817088,Electronic Components
KFY,7.61,2.37,-0.91,2500306176,Staffing & Employment Services
PATH,200,1.93,15.25,9696886784,Software—Infrastructure
CXM,100,3.04,-4.98,3743360000,Software—Application
CTLP,-33.33,1.27,-10.94,454345600,Information Technology Services
VRNT,-18.64,6.90,-20.06,1477592576,Software—Infrastructure
YEXT,0,0.67,-27.45,787977408,Software—Infrastructure
GME,80,1.83,-9.6,5024266240,Specialty Retail
PHR,9.33,1.22,-29.8,1031298560,Health Information Services
AKTS,-31.25,0.80,-34.23,54475928,Communication Equipment
EXPR,18.25,1.20,-3.6,33707072,Apparel Retail
ZS,30.61,5.71,3.77,22898022400,Software—Infrastructure
AVAV,150,11.01,16.13,2932168192,Aerospace & Defense
HQY,12.77,1.95,5.93,6255089664,Health Information Services
AMRK,24.10,39.44,3.44,684685376,Capital Markets
NTNX,60,3.91,13.57,8357736448,Software—Infrastructure
S,46.67,5.61,6.71,4985063424,Software—Infrastructure
MDB,106.67,8.69,0.07,24675241984,Software—Infrastructure
LULU,5.93,1.86,5.2,48795471872,Apparel Retail
PD,90,3.20,-6.69,2098571008,Software—Application
ESTC,127.27,3.20,29.64,7995567616,Software—Application
VMW,10.24,0.58,-0.2,71884398592,Software—Infrastructure
TLYS,80.95,5.99,-6.7,243276816,Apparel Retail
CPB,0,0.52,-6.61,12239581184,Packaged Foods
CIEN,11.32,1.60,0.27,6987012608,Communication Equipment
SIG,15.67,3.44,-0.46,3223277824,Luxury Goods
JILL,37.50,2.15,3.44,313839936,Apparel Retail
GCO,30.89,5.18,-8.28,354605664,Apparel Retail
HRL,-2.44,4.65,-5.82,20782671872,Packaged Foods
CRWD,32.14,0.85,12.54,39968337920,Software—Infrastructure
CHWY,36.36,0.56,-11.2,7857825792,Internet Retail
CRM,11.58,0.93,3.27,197304942592,Software—Application
CONN,6.08,2.49,-2.42,96140632,Specialty Retail
PVH,13.14,0.95,6.13,4623109120,Apparel Manufacturing
BOX,2.86,0.15,-12.61,3487329024,Software—Infrastructure
HPQ,0,1.23,-3.16,25398513664,Computer Hardware
NCNO,28.57,1.82,14.19,3590569728,Software—Application
AMBA,28.57,0.46,-12.45,2114740864,Semiconductor Equipment & Materials
NSSC,0,0.09,1.12,818134720,Security & Protection Services
CTLT,-10,1.67,4.68,8207783936,Drug Manufacturers—Specialty & Generic
CHS,3.70,1.76,-4.18,923473344,Apparel Retail
SJM,6.76,1.95,-2.3,12552921088,Packaged Foods
CAN,-286.67,10.89,4.19,309469184,Computer Hardware
DCI,0,1.88,4.8,7230872576,Specialty Industrial Machinery
AFYA,-12.12,1.71,9.68,1480820224,Education & Training Services
UI,-16.43,0.02,10.97,8782935040,Communication Equipment
HIBB,25,0.51,6.29,588857920,Apparel Retail
GPS,277.78,1.36,17.65,3931834880,Apparel Retail
JWN,86.67,2.92,-8.87,2415469312,Department Stores
INTU,19.57,2.68,7.17,143195537408,Software—Application
MRVL,3.13,0.76,-10.36,46703366144,Semiconductors
WDAY,14.40,0.76,3.74,56290701312,Software—Application
DOMO,75,0.83,-38.59,353972288,Software—Application
ULTA,2.56,0.87,-2.97,19664365568,Specialty Retail
OSIS,4.72,7.13,0.93,1982989440,Electronic Components
WOOF,-14.29,0.97,0.0,1095158912,Specialty Retail
BBW,39.02,7.20,-6.82,427374368,Specialty Retail
TD,-2.63,5.74,1.36,110337867776,Banks—Diversified
FRO,0,3.42,0.33,4180860160,Oil & Gas Midstream
GES,84.62,4.04,33.94,1159629184,Apparel Retail
NVDA,29.19,20.89,6.36,1074425298944,Semiconductors
UFI,17.02,2.14,-7.3,128399952,Textile Manufacturing
OOMA,0,1.20,4.38,333056000,Telecom Services
SPLK,69.05,2.53,19.79,24646195200,Software—Infrastructure
ADSK,11.05,2.11,8.48,44229910528,Software—Application
NTAP,7.48,1.54,-0.49,15843060736,Computer Hardware
WSM,14.71,5.23,8.29,9968133120,Specialty Retail
ANF,746.15,11.03,3.22,2838629632,Apparel Retail
PTON,-51.11,0.26,18.06,1802885504,Leisure
KSS,116.67,0.22,1.1,2320041216,Department Stores
LZB,12.73,1.27,-1.74,1329430272,"Furnishings, Fixtures & Appliances"
SCSC,-13.64,3.24,16.38,753027712,Electronics & Computer Distribution
DKS,-25,0.04,-0.51,9231808512,Specialty Retail
M,100,1.44,-10.65,3176890368,Department Stores
BJ,7.78,3.62,-5.64,9544453120,Discount Stores
MDT,8.11,1.71,-1.48,104260337664,Medical Devices
COTY,-50,2.32,3.59,9412184064,Household & Personal Products
LOW,1.56,0.08,0.3,119947583488,Home Improvement Retail
ARAV,60,27.40,-43.75,9710263,Biotechnology
NDSN,1.73,2.52,3.0,12723926016,Specialty Industrial Machinery
FN,3.33,2.18,32.92,6030110720,Electronic Components
DE,25.31,0.35,-5.17,108685811712,Farm & Heavy Construction Machinery
GLOB,1.49,0.21,14.88,8395705856,Information Technology Services
KEYS,7.35,0.01,-14.35,23494948864,Scientific & Technical Instruments
LITE,5.36,0.72,8.86,3027051008,Communication Equipment
EVGN,10.53,15.07,-1.28,30535828,Biotechnology
IMTX,-2.94,28.28,12.27,931006528,Biotechnology
WMT,8.88,1.13,-1.74,430461157376,Discount Stores
TPR,-1.04,2.84,-1.88,6587458560,Luxury Goods
DESP,40,3.13,-11.2,478908896,Travel Services
DOLE,37.84,3.86,-12.23,1099277824,Farm Products
AMCR,5.56,4.98,-1.38,13249389568,Packaging & Containers
WOLF,-110,5.57,-16.37,4772329472,Semiconductors
AVT,26.38,5.08,7.73,4408961024,Electronics & Computer Distribution
SNPS,5.49,0.36,-0.04,69801992192,Software—Infrastructure
TJX,11.84,2.64,0.39,101685829632,Apparel Retail
ZIM,-57.47,0.47,-2.38,1256278016,Marine Shipping
TGT,27.66,1.91,-7.45,51039662080,Discount Stores
MDWD,124.39,14,-1.49,100810384,Biotechnology
CAH,4.73,2,-7.76,21388453888,Medical Distribution
ESLT,-4.85,4,-4.11,8790846464,Aerospace & Defense
RSKD,100,0.95,-6.62,753952576,Software—Application
IMMR,31.25,12.93,5.33,213116320,Software—Application
RWLK,28.57,0.15,-13.89,45552120,Medical Devices
SPB,31.58,5.82,0.7,2795042048,Household & Personal Products
ATGE,9.57,2.32,-6.57,1780147456,Education & Training Services
SVM,0,2.75,-7.46,415517568,Silver
SENS,0,10.01,-32.48,318965504,Medical Devices
REED,25,21.34,2.89,13591364,Beverages—Non-Alcoholic
IRIX,-54.55,9.66,-26.83,41221912,Medical Devices
WATT,28.57,41.50,-55.42,7365568,Scientific & Technical Instruments
GNSS,20,1.09,22.35,74734008,Scientific & Technical Instruments
PHUN,14.29,28.10,-12.16,21942444,Software—Application
SIEN,3.41,7.48,-0.33,31316144,Medical Devices
SRT,-42.86,3.91,-3.5,130980848,Information Technology Services
KOPN,-133.33,2.45,-18.44,139439904,Electronic Components
APYX,8.33,4.78,3.41,110860480,Medical Devices
AEYE,0,0.18,-11.61,58441184,Software—Application
CIR,62.86,2.81,-0.29,1136842880,Specialty Industrial Machinery
LVO,50,1.33,19.59,86247712,Entertainment
EMAN,-33.33,29.21,0.0,165543936,Electronic Components
HBI,50,1.02,9.55,1385552512,Apparel Manufacturing
OPTN,118.18,14.44,-1.95,138034288,Drug Manufacturers—Specialty & Generic
ALYA,200,6.41,5.68,145570784,Information Technology Services
WKME,100,1.13,3.63,836578688,Software—Application
NABL,12.50,3.19,-9.3,2354482176,Information Technology Services
CYBR,123.08,1.52,2.2,6839870464,Software—Infrastructure
CCOI,-316.67,7.69,17.26,3025938176,Telecom Services
PRMW,14.29,1.21,0.13,2199512832,Beverages—Non-Alcoholic
DDS,89.55,2.16,1.13,5433487872,Department Stores
AVAH,50,4.14,2.41,230512528,Medical Care Facilities
