Ticker,Earnings,Revenue,Percentage change,Market cap,Industry
CCL,17.81,2.06,0.44,17919281152,Travel Services
BB,-100,0,-3.45,2750399744,Software—Infrastructure
NKE,27.03,0.09,-1.03,146295734272,Footwear & Accessories
BSET,49.15,0.31,1.78,129475232,"Furnishings, Fixtures & Appliances"
JBL,6.06,0.47,17.59,16607490048,Electronic Components
ACN,3.44,0.52,-3.66,193328185344,Information Technology Services
KMX,0,0.95,-12.11,11221739520,Auto & Truck Dealerships
WOR,3.52,11.81,2.73,3026150912,Metal Fabrication
JEF,-5.88,5.87,-1.58,7707977728,Capital Markets
MU,9.32,2.45,0.35,74513252352,Semiconductors
PAYX,1.79,0.12,2.24,41660887040,Staffing & Employment Services
MLKN,76.19,1.85,-3.33,1829935872,"Furnishings, Fixtures & Appliances"
COST,3.18,0.48,-1.17,250160332800,Discount Stores
AIR,6.85,8.68,-0.85,2101111296,Aerospace & Defense
CTAS,1.37,0.75,-4.78,49027907584,Specialty Business Services
SNX,12.55,99.90,-4.98,9190515712,Electronics & Computer Distribution
SCHL,-62.96,14.99,-0.36,1182957824,Publishing
FDS,-16.05,0.16,-0.34,16679808000,Financial Data & Stock Exchanges
FDX,22.97,0.71,0.61,66606190592,Integrated Freight & Logistics
SCS,82.35,3.29,-0.11,1274072576,Business Equipment & Supplies
AZO,4.38,1.96,-1.99,45356601344,Specialty Retail
ICMB,6.67,6.12,-0.24,57427272,Asset Management
LEN,12.68,2.40,0.59,31908448256,Residential Construction
ADBE,3.02,0.72,-0.87,232157462528,Software—Infrastructure
EGAN,83.33,3.86,1.94,192993248,Software—Application
SMTC,450,0.55,-1.46,1652490752,Semiconductors
CASY,34.52,0.45,-1.02,10118627328,Specialty Retail
ORCL,4.39,0,-0.24,290155134976,Software—Infrastructure
KR,4.35,1.16,3.16,32189388800,Grocery Stores
DOCU,10.77,1.61,-1.01,8534609920,Software—Application
SMAR,100,2.72,-0.62,5467480576,Software—Application
ZUMZ,34.33,2.33,2.75,352587712,Apparel Retail
RH,49.43,2.90,-3.43,4864276480,Specialty Retail
LMNR,-86.67,8.07,0.27,275436736,Farm Products
TNP,3.12,4.86,-4.55,613126400,Oil & Gas Midstream
TTC,-22.76,11.36,-12.84,8629436416,Tools & Accessories
SCWX,37.50,3.32,-6.8,535521184,Software—Infrastructure
SAIC,28.12,5.43,-6.07,5586802176,Information Technology Services
MEI,-72.73,7.98,-23.1,822817088,Electronic Components
KFY,7.61,2.37,-3.64,2500306176,Staffing & Employment Services
PATH,200,1.93,2.98,9696886784,Software—Infrastructure
CXM,100,3.04,3.74,3743360000,Software—Application
CTLP,-33.33,1.27,-1.43,454345600,Information Technology Services
VRNT,-18.64,6.90,-2.16,1477592576,Software—Infrastructure
YEXT,0,0.67,0.89,787977408,Software—Infrastructure
GME,80,1.83,1.63,5024266240,Specialty Retail
PHR,9.33,1.22,1.47,1031298560,Health Information Services
AKTS,-31.25,0.80,-25.16,54475928,Communication Equipment
EXPR,18.25,1.20,-7.12,33707072,Apparel Retail
ZS,30.61,5.71,2.31,22898022400,Software—Infrastructure
AVAV,150,11.01,-2.35,2932168192,Aerospace & Defense
HQY,12.77,1.95,1.09,6255089664,Health Information Services
AMRK,24.10,39.44,-2.07,684685376,Capital Markets
NTNX,60,3.91,0.84,8357736448,Software—Infrastructure
S,46.67,5.61,2.15,4985063424,Software—Infrastructure
MDB,106.67,8.69,4.02,24675241984,Software—Infrastructure
LULU,5.93,1.86,0.63,48795471872,Apparel Retail
PD,90,3.20,3.21,2098571008,Software—Application
ESTC,127.27,3.20,3.91,7995567616,Software—Application
VMW,10.24,0.58,0.84,71884398592,Software—Infrastructure
TLYS,80.95,5.99,3.81,243276816,Apparel Retail
CPB,0,0.52,-1.63,12239581184,Packaged Foods
CIEN,11.32,1.60,16.78,6987012608,Communication Equipment
SIG,15.67,3.44,6.67,3223277824,Luxury Goods
JILL,37.50,2.15,4.8,313839936,Apparel Retail
GCO,30.89,5.18,21.0,354605664,Apparel Retail
HRL,-2.44,4.65,-3.52,20782671872,Packaged Foods
CRWD,32.14,0.85,4.37,39968337920,Software—Infrastructure
CHWY,36.36,0.56,4.43,7857825792,Internet Retail
CRM,11.58,0.93,4.01,197304942592,Software—Application
CONN,6.08,2.49,19.42,96140632,Specialty Retail
PVH,13.14,0.95,2.96,4623109120,Apparel Manufacturing
BOX,2.86,0.15,0.39,3487329024,Software—Infrastructure
HPQ,0,1.23,1.39,25398513664,Computer Hardware
NCNO,28.57,1.82,1.97,3590569728,Software—Application
AMBA,28.57,0.46,6.85,2114740864,Semiconductor Equipment & Materials
NSSC,0,0.09,8.46,818134720,Security & Protection Services
CTLT,-10,1.67,6.39,8207783936,Drug Manufacturers—Specialty & Generic
CHS,3.70,1.76,-0.58,923473344,Apparel Retail
SJM,6.76,1.95,2.33,12552921088,Packaged Foods
CAN,-286.67,10.89,5.97,309469184,Computer Hardware
DCI,0,1.88,3.32,7230872576,Specialty Industrial Machinery
AFYA,-12.12,1.71,0.69,1480820224,Education & Training Services
UI,-16.43,0.02,10.83,8782935040,Communication Equipment
HIBB,25,0.51,20.85,588857920,Apparel Retail
GPS,277.78,1.36,0.32,3931834880,Apparel Retail
JWN,86.67,2.92,-2.21,2415469312,Department Stores
INTU,19.57,2.68,1.89,143195537408,Software—Application
MRVL,3.13,0.76,-3.55,46703366144,Semiconductors
WDAY,14.40,0.76,-0.77,56290701312,Software—Application
DOMO,75,0.83,1.49,353972288,Software—Application
ULTA,2.56,0.87,-1.23,19664365568,Specialty Retail
OSIS,4.72,7.13,14.58,1982989440,Electronic Components
WOOF,-14.29,0.97,-21.12,1095158912,Specialty Retail
BBW,39.02,7.20,7.27,427374368,Specialty Retail
TD,-2.63,5.74,-2.37,110337867776,Banks—Diversified
FRO,0,3.42,3.39,4180860160,Oil & Gas Midstream
GES,84.62,4.04,-2.29,1159629184,Apparel Retail
NVDA,29.19,20.89,-2.12,1074425298944,Semiconductors
UFI,17.02,2.14,-0.14,128399952,Textile Manufacturing
OOMA,0,1.20,0.79,333056000,Telecom Services
SPLK,69.05,2.53,-0.07,24646195200,Software—Infrastructure
ADSK,11.05,2.11,1.0,44229910528,Software—Application
NTAP,7.48,1.54,0.05,15843060736,Computer Hardware
WSM,14.71,5.23,10.6,9968133120,Specialty Retail
ANF,746.15,11.03,25.52,2838629632,Apparel Retail
PTON,-51.11,0.26,-24.12,1802885504,Leisure
KSS,116.67,0.22,-1.67,2320041216,Department Stores
LZB,12.73,1.27,-3.12,1329430272,"Furnishings, Fixtures & Appliances"
SCSC,-13.64,3.24,-2.07,753027712,Electronics & Computer Distribution
DKS,-25,0.04,-24.18,9231808512,Specialty Retail
M,100,1.44,-15.99,3176890368,Department Stores
BJ,7.78,3.62,-4.34,9544453120,Discount Stores
MDT,8.11,1.71,2.43,104260337664,Medical Devices
COTY,-50,2.32,-5.96,9412184064,Household & Personal Products
LOW,1.56,0.08,3.26,119947583488,Home Improvement Retail
ARAV,60,27.40,-8.48,9710263,Biotechnology
NDSN,1.73,2.52,-0.41,12723926016,Specialty Industrial Machinery
FN,3.33,2.18,-0.99,6030110720,Electronic Components
DE,25.31,0.35,-5.87,108685811712,Farm & Heavy Construction Machinery
GLOB,1.49,0.21,-4.11,8395705856,Information Technology Services
KEYS,7.35,0.01,-1.33,23494948864,Scientific & Technical Instruments
LITE,5.36,0.72,-4.62,3027051008,Communication Equipment
EVGN,10.53,15.07,-21.25,30535828,Biotechnology
IMTX,-2.94,28.28,-0.94,931006528,Biotechnology
WMT,8.88,1.13,-2.62,430461157376,Discount Stores
TPR,-1.04,2.84,-2.23,6587458560,Luxury Goods
DESP,40,3.13,-5.05,478908896,Travel Services
DOLE,37.84,3.86,0.6,1099277824,Farm Products
AMCR,5.56,4.98,-1.67,13249389568,Packaging & Containers
WOLF,-110,5.57,-4.39,4772329472,Semiconductors
AVT,26.38,5.08,-2.15,4408961024,Electronics & Computer Distribution
SNPS,5.49,0.36,-1.68,69801992192,Software—Infrastructure
CSCO,7.55,1.04,-1.23,217989267456,Communication Equipment
TJX,11.84,2.64,3.81,101685829632,Apparel Retail
ZIM,-57.47,0.47,-12.16,1256278016,Marine Shipping
TGT,27.66,1.91,0.63,51039662080,Discount Stores
MDWD,124.39,14,1.46,100810384,Biotechnology
CAH,4.73,2,-2.33,21388453888,Medical Distribution
ESLT,-4.85,4,-1.81,8790846464,Aerospace & Defense
RSKD,100,0.95,15.22,753952576,Software—Application
IMMR,31.25,12.93,1.91,213116320,Software—Application
RWLK,28.57,0.15,2.03,45552120,Medical Devices
SPB,31.58,5.82,2.29,2795042048,Household & Personal Products
ATGE,9.57,2.32,-1.19,1780147456,Education & Training Services
SVM,0,2.75,-4.76,415517568,Silver
SENS,0,10.01,-11.08,318965504,Medical Devices
REED,25,21.34,-4.61,13591364,Beverages—Non-Alcoholic
IRIX,-54.55,9.66,0.0,41221912,Medical Devices
WATT,28.57,41.50,-2.86,7365568,Scientific & Technical Instruments
GNSS,20,1.09,12.45,74734008,Scientific & Technical Instruments
PHUN,14.29,28.10,-1.89,21942444,Software—Application
SIEN,3.41,7.48,-1.31,31316144,Medical Devices
SRT,-42.86,3.91,-2.54,130980848,Information Technology Services
KOPN,-133.33,2.45,-6.84,139439904,Electronic Components
APYX,8.33,4.78,-5.08,110860480,Medical Devices
AEYE,0,0.18,8.93,58441184,Software—Application
CIR,62.86,2.81,0.05,1136842880,Specialty Industrial Machinery
LVO,50,1.33,2.42,86247712,Entertainment
EMAN,-33.33,29.21,-1.0,165543936,Electronic Components
HBI,50,1.02,-3.66,1385552512,Apparel Manufacturing
OPTN,118.18,14.44,0.81,138034288,Drug Manufacturers—Specialty & Generic
ALYA,200,6.41,0.56,145570784,Information Technology Services
WKME,100,1.13,1.2,836578688,Software—Application
NABL,12.50,3.19,-0.59,2354482176,Information Technology Services
CYBR,123.08,1.52,11.21,6839870464,Software—Infrastructure
CCOI,-316.67,7.69,13.39,3025938176,Telecom Services
PRMW,14.29,1.21,10.89,2199512832,Beverages—Non-Alcoholic
DDS,89.55,2.16,9.73,5433487872,Department Stores
AVAH,50,4.14,7.06,230512528,Medical Care Facilities
WWW,-5,1.05,-26.98,640888576,Footwear & Accessories
GOCO,33.46,30.99,-3.06,323558784,Insurance Brokers
YETI,21.28,1.98,15.7,4182434048,Leisure
BGSF,20,2.42,-4.09,104303096,Staffing & Employment Services
MFC,3.33,20.43,-0.31,33328644096,Insurance—Life
FSM,-80,2.82,0.92,840439168,Gold
TTEK,9.32,1.47,0.53,8094928384,Engineering & Construction
GRPN,71.43,6.58,0.38,478728544,Internet Content & Information
AVID,0,4.86,-1.3,1183400576,Software—Application
STKL,-200,7.64,-4.08,389598944,Packaged Foods
PFLT,9.09,10.18,-0.7,626111872,Asset Management
PNNT,29.63,28.41,-0.6,429177216,Asset Management
EHAB,-71.43,3.38,0.51,563646400,Medical Care Facilities
